lap,lap_time_s,race_time_s,fuel_energy_mj,battery_mj,compound,tyre_wear,pit
1,93.30799999999999,93.30799999999999,593.4,3.0,MEDIUM,0.0105,
2,93.248538338125,186.556538338125,498.79999999999995,2.0,MEDIUM,0.0212635637254902,
3,93.189670218031,279.746208556156,404.19999999999993,1.0,MEDIUM,0.03229754383333334,
4,93.13147689973339,372.8776854558894,309.6,0.0,MEDIUM,0.04360897114947059,
5,93.79404811314885,466.6717335690382,232.20000000000002,0.5,MEDIUM,0.05520505930131761,
6,93.37868284183325,560.0504164108714,154.8,0.0,MEDIUM,0.06709492515687736,
7,105.20429110613375,665.2547075170052,77.4,0.5,SOFT,0.0,SOFT
8,107.4104,772.6651075170051,0.0,0.0,SOFT,0.014421691176470589,
